Unique Order Identifier,Order Complexity,Supplier,Unique Product Identifier,Planned Year,Planned Month,Planned Quarter,Planned Day,Planned Weekday,Delivery Delay,Delivery Status,Ordered Quantity,Arrival Year,Arrival Month,Arrival Quarter,Arrival Day,Arrival Weekday,Delivered Quantity,Delivery_Delay_Days,Status,Quantity Difference,Quantity Status
6261692-9,9,52391922,27100512200,2023,10,4,2,0,-4,too early,250.0,2023,9,3,28,3,250.0,-4,early,0.0,exact
6261693-1,2,24582369,22703360004,2023,10,4,23,0,-7,too early,800.0,2023,10,4,16,0,800.0,-7,early,0.0,exact
6261693-2,2,24582369,22710780002,2023,10,4,23,0,-7,too early,50.0,2023,10,4,16,0,50.0,-7,early,0.0,exact
6261695-1,3,89429084,999,2023,6,2,8,3,-2,too early,10.0,2023,6,2,6,1,5.0,-2,early,-5.0,under delivered
6261695-2,3,89429084,999,2023,5,2,29,0,8,too late,2.0,2023,6,2,6,1,2.0,8,late,0.0,exact
6261695-3,3,89429084,8888,2023,5,2,29,0,8,too late,1.0,2023,6,2,6,1,1.0,8,late,0.0,exact
6261696-1,1,98729064,999,2023,5,2,30,1,6,too late,8.0,2023,6,2,5,0,8.0,6,late,0.0,exact
6261697-1,1,46192837,92712930001,2023,6,2,26,0,2,too late,20.0,2023,6,2,28,2,20.0,2,late,0.0,exact
6261698-1,2,41316462,27400121100,2024,3,1,4,0,0,on time,5000.0,2024,3,1,4,0,5000.0,0,on_time,0.0,exact
6261698-2,2,41316462,27400123100,2024,3,1,4,0,0,on time,2000.0,2024,3,1,4,0,2000.0,0,on_time,0.0,exact
6261699-1,11,52391922,ST GMVSTBR 5-ST,2024,2,1,19,0,0,on time,100.0,2024,2,1,19,0,100.0,0,on_time,0.0,exact
6261699-2,11,52391922,37100400500,2024,2,1,19,0,1,too late,50.0,2024,2,1,20,1,50.0,1,late,0.0,exact
6261699-3,11,52391922,27301210000,2024,3,1,25,0,0,on time,50.0,2024,3,1,25,0,50.0,0,on_time,0.0,exact
6261699-4,11,52391922,27100810500,2024,3,1,25,0,-4,too early,100.0,2024,3,1,21,3,100.0,-4,early,0.0,exact
6261699-5,11,52391922,SPERRE CR-MSTB,2024,3,1,25,0,-4,too early,200.0,2024,3,1,21,3,200.0,-4,early,0.0,exact
6261699-6,11,52391922,27100420800,2024,3,1,25,0,-4,too early,400.0,2024,3,1,21,3,400.0,-4,early,0.0,exact
6261699-7,11,52391922,KL PT/2ST,2024,3,1,25,0,0,on time,1000.0,2024,3,1,25,0,1000.0,0,on_time,0.0,exact
6261699-8,11,52391922,27100369200,2024,3,1,25,0,-4,too early,500.0,2024,3,1,21,3,500.0,-4,early,0.0,exact
6261699-9,11,52391922,27100400100,2024,3,1,25,0,-4,too early,200.0,2024,3,1,21,3,200.0,-4,early,0.0,exact
6261699-10,11,52391922,27100422200,2024,3,1,25,0,-4,too early,2000.0,2024,3,1,21,3,2000.0,-4,early,0.0,exact
6261699-11,11,52391922,971000400,2024,3,1,25,0,-4,too early,1000.0,2024,3,1,21,3,1000.0,-4,early,0.0,exact
6261700-1,1,53936705,33017910001,2023,8,3,28,0,3,too late,100.0,2023,8,3,31,3,100.0,3,late,0.0,exact
6261701-1,1,98846918,126400000001100,2023,6,2,12,0,-7,too early,180.0,2023,6,2,5,0,180.0,-7,early,0.0,exact
6261702-1,2,1746110,MODULSTECKER LI,2023,6,2,12,0,-5,too early,1000.0,2023,6,2,7,2,1000.0,-5,early,0.0,exact
6261702-2,2,1746110,MODULSTECKER RE,2023,6,2,12,0,-5,too early,1000.0,2023,6,2,7,2,1000.0,-5,early,0.0,exact
6261704-1,2,10906710,27100950101,2024,4,2,22,0,-4,too early,175.0,2024,4,2,18,3,175.0,-4,early,0.0,exact
6261704-2,2,10906710,KLEM KL236-402,2024,4,2,22,0,-4,too early,420.0,2024,4,2,18,3,420.0,-4,early,0.0,exact
6261705-1,1,11717204,999,2023,6,2,16,4,10,too late,2.0,2023,6,2,26,0,2.0,10,late,0.0,exact
6261706-1,1,89429084,999,2023,6,2,5,0,7,too late,1.0,2023,6,2,12,0,1.0,7,late,0.0,exact
6261707-1,1,66830485,37300540100,2024,2,1,19,0,3,too late,1000.0,2024,2,1,22,3,1000.0,3,late,0.0,exact
6261845-5,6,88389265,22300011300,2024,4,2,22,0,0,on time,500.0,2024,4,2,22,0,500.0,0,on_time,0.0,exact
6261845-6,6,88389265,62200030000,2024,3,1,4,0,1,too late,1000.0,2024,3,1,5,1,1000.0,1,late,0.0,exact
6261846-1,2,44912750,37400050100,2024,3,1,13,2,0,on time,150.0,2024,3,1,13,2,150.0,0,on_time,0.0,exact
6261846-2,2,44912750,37400050000,2024,3,1,13,2,0,on time,150.0,2024,3,1,13,2,150.0,0,on_time,0.0,exact
6261847-1,1,36132565,23500210100,2024,4,2,8,0,-4,too early,995.0,2024,4,2,4,3,995.0,-4,early,0.0,exact
6261848-1,1,36132565,FOLIE REO1.15,2024,3,1,25,0,0,on time,964.0,2024,3,1,25,0,964.0,0,on_time,0.0,exact
6261849-1,1,36132565,23500120200,2024,1,1,15,0,0,on time,250.0,2024,1,1,15,0,250.0,0,on_time,0.0,exact
6261850-1,2,3612479,C XS 1U/600V,2024,3,1,11,0,-6,too early,508.0,2024,3,1,5,1,508.0,-6,early,0.0,exact
6261850-2,2,3612479,C XS 2U2/400,2024,5,2,31,4,-2,too early,485.0,2024,5,2,29,2,485.0,-2,early,0.0,exact
6261851-1,3,4065894,22223032200,2023,9,3,4,0,1,too late,3000.0,2023,9,3,5,1,3000.0,1,late,0.0,exact
6261851-2,3,4065894,22211030601,2023,9,3,4,0,1,too late,10000.0,2023,9,3,5,1,10000.0,1,late,0.0,exact
6261851-3,3,4065894,32200201902,2023,9,3,4,0,1,too late,100.0,2023,9,3,5,1,100.0,1,late,0.0,exact
6261852-1,2,14148833,31400130000,2023,11,4,8,2,-1,too early,4000.0,2023,11,4,7,1,4000.0,-1,early,0.0,exact
6261852-2,2,14148833,31400140000,2024,2,1,2,4,-115,too early,4000.0,2023,10,4,10,1,4000.0,-115,early,0.0,exact
6261853-1,1,66830485,37300540100,2023,10,4,23,0,14,too late,1000.0,2023,11,4,6,0,1000.0,14,late,0.0,exact
6261854-1,1,19314511,24300280000,2023,11,4,13,0,3,too late,1200.0,2023,11,4,16,3,1200.0,3,late,0.0,exact
6261855-1,1,14148833,REL 24V 100 32A,2024,2,1,28,2,-1,too early,300.0,2024,2,1,27,1,300.0,-1,early,0.0,exact
6261856-1,1,12724361,DROSSEL 8A,2024,3,1,25,0,-18,too early,500.0,2024,3,1,7,3,500.0,-18,early,0.0,exact
6261857-1,1,86872294,27300900000,2024,5,2,13,0,1,too late,10000.0,2024,5,2,14,1,53040.0,1,late,43040.0,over delivered
6261858-1,2,6355505,KABELSTEC C16-1,2024,4,2,29,0,1,too late,200.0,2024,4,2,30,1,200.0,1,late,0.0,exact
6261858-2,2,6355505,BUCHSE C16-1 3P,2024,4,2,29,0,1,too late,200.0,2024,4,2,30,1,200.0,1,late,0.0,exact
6261859-1,5,41316462,27400123500,2024,4,2,22,0,0,on time,2000.0,2024,4,2,22,0,2000.0,0,on_time,0.0,exact
6261859-2,5,41316462,27400123100,2024,4,2,22,0,0,on time,2000.0,2024,4,2,22,0,2000.0,0,on_time,0.0,exact
6261859-3,5,41316462,VERSCHRAUBM20MS,2024,4,2,22,0,0,on time,200.0,2024,4,2,22,0,200.0,0,on_time,0.0,exact
6261859-4,5,41316462,27400121100,2024,5,2,13,0,1,too late,5000.0,2024,5,2,14,1,5000.0,1,late,0.0,exact
6261859-5,5,41316462,VERSCHRAUBM16SW,2024,5,2,13,0,1,too late,2000.0,2024,5,2,14,1,2000.0,1,late,0.0,exact
6261860-1,2,11431533,22200170100,2024,2,1,15,3,1,too late,1000.0,2024,2,1,16,4,1000.0,1,late,0.0,exact
6261860-2,2,11431533,22200170200,2024,3,1,11,0,2,too late,989.0,2024,3,1,13,2,989.0,2,late,0.0,exact
6261861-1,3,66830485,"KK SK104 25,4",2024,2,1,19,0,3,too late,300.0,2024,2,1,22,3,300.0,3,late,0.0,exact
6261861-2,3,66830485,STECKVERBASLG16,2024,5,2,6,0,0,on time,1000.0,2024,5,2,6,0,1000.0,0,on_time,0.0,exact
6261861-3,3,66830485,STIFTL SL1/3 Z,2024,2,1,19,0,3,too late,5000.0,2024,2,1,22,3,5000.0,3,late,0.0,exact
6261862-1,5,66830485,STIFTL SL1/20,2024,5,2,13,0,3,too late,200.0,2024,5,2,16,3,200.0,3,late,0.0,exact
6261862-2,5,66830485,ST BL1/20,2024,5,2,13,0,3,too late,200.0,2024,5,2,16,3,200.0,3,late,0.0,exact
6261862-3,5,66830485,STECKV SL1/2,2024,5,2,13,0,3,too late,2000.0,2024,5,2,16,3,2000.0,3,late,0.0,exact
6261862-4,5,66830485,27301440000,2024,4,2,29,0,-4,too early,1000.0,2024,4,2,25,3,1000.0,-4,early,0.0,exact
6261862-5,5,66830485,32201000000,2024,5,2,13,0,3,too late,30.0,2024,5,2,16,3,30.0,3,late,0.0,exact
6261863-1,3,24582369,22717270001,2023,11,4,27,0,-7,too early,300.0,2023,11,4,20,0,300.0,-7,early,0.0,exact
6261863-2,3,24582369,227170600,2023,11,4,27,0,-7,too early,1000.0,2023,11,4,20,0,1000.0,-7,early,0.0,exact
6261863-3,3,24582369,227171200,2023,11,4,27,0,-7,too early,1008.0,2023,11,4,20,0,1008.0,-7,early,0.0,exact
6261864-1,1,93876851,DROSSEL K2401,2024,4,2,8,0,-12,too early,100.0,2024,3,1,27,2,100.0,-12,early,0.0,exact
6261865-1,1,83396652,27100190100,2024,4,2,22,0,-5,too early,800.0,2024,4,2,17,2,800.0,-5,early,0.0,exact
6261866-1,1,84738953,32200001000,2023,11,4,27,0,1,too late,300.0,2023,11,4,28,1,300.0,1,late,0.0,exact
6261867-1,2,19314511,35200060000,2023,9,3,4,0,1,too late,252.0,2023,9,3,5,1,252.0,1,late,0.0,exact
6261867-2,2,19314511,87300070000,2024,3,1,18,0,0,on time,480.0,2024,3,1,18,0,480.0,0,on_time,0.0,exact
6261868-1,3,19314511,221800000000600,2024,4,2,22,0,1,too late,1200.0,2024,4,2,23,1,1200.0,1,late,0.0,exact
6261868-2,3,19314511,24300260000,2024,4,2,22,0,1,too late,990.0,2024,4,2,23,1,990.0,1,late,0.0,exact
6261868-3,3,19314511,24300210100,2024,4,2,22,0,1,too late,2200.0,2024,4,2,23,1,2200.0,1,late,0.0,exact
6261871-1,6,54973100,27100453300,2024,3,1,4,0,1,too late,2000.0,2024,3,1,5,1,2000.0,1,late,0.0,exact
6261871-2,6,54973100,27100442300,2024,4,2,29,0,1,too late,4000.0,2024,4,2,30,1,4000.0,1,late,0.0,exact
6261871-3,6,54973100,27100450200,2024,4,2,29,0,1,too late,2000.0,2024,4,2,30,1,2000.0,1,late,0.0,exact
6261871-4,6,54973100,27100441300,2024,5,2,27,0,1,too late,2000.0,2024,5,2,28,1,2000.0,1,late,0.0,exact
6261871-5,6,54973100,27100443300,2024,5,2,27,0,1,too late,2000.0,2024,5,2,28,1,2000.0,1,late,0.0,exact
6261871-6,6,54973100,27100452300,2024,5,2,27,0,1,too late,2000.0,2024,5,2,28,1,2000.0,1,late,0.0,exact
6261872-1,8,52391922,122800000046200,2023,7,3,3,0,8,too late,50.0,2023,7,3,11,1,50.0,8,late,0.0,exact
6261872-2,8,52391922,27301590000,2023,11,4,13,0,0,on time,200.0,2023,11,4,13,0,200.0,0,on_time,0.0,exact
6261872-3,8,52391922,27100812300,2023,12,4,18,0,-4,too early,600.0,2023,12,4,14,3,600.0,-4,early,0.0,exact
6261872-4,8,52391922,27100422300,2023,12,4,18,0,-4,too early,1000.0,2023,12,4,14,3,1000.0,-4,early,0.0,exact
6261872-5,8,52391922,37100490500,2023,12,4,18,0,-4,too early,250.0,2023,12,4,14,3,250.0,-4,early,0.0,exact
6261872-6,8,52391922,27100516900,2023,12,4,18,0,-4,too early,200.0,2023,12,4,14,3,200.0,-4,early,0.0,exact
6261872-7,8,52391922,27100160000,2023,12,4,18,0,-3,too early,200.0,2023,12,4,15,4,200.0,-3,early,0.0,exact
6261872-8,8,52391922,27301160000,2024,1,1,25,3,0,on time,100.0,2024,1,1,25,3,100.0,0,on_time,0.0,exact
6261873-1,8,52391922,271000200,2024,2,1,26,0,9,too late,200.0,2024,3,1,6,2,200.0,9,late,0.0,exact
6261873-2,8,52391922,27100702700,2024,2,1,12,0,2,too late,100.0,2024,2,1,14,2,100.0,2,late,0.0,exact
6261873-3,8,52391922,27100713600,2024,2,1,12,0,2,too late,100.0,2024,2,1,14,2,100.0,2,late,0.0,exact
6261873-4,8,52391922,27100542300,2024,2,1,12,0,-3,too early,1000.0,2024,2,1,9,4,1000.0,-3,early,0.0,exact
6261873-5,8,52391922,27100516300,2024,2,1,12,0,2,too late,1000.0,2024,2,1,14,2,1000.0,2,late,0.0,exact
6261873-6,8,52391922,27101012500,2024,2,1,12,0,2,too late,300.0,2024,2,1,14,2,300.0,2,late,0.0,exact
6261873-7,8,52391922,23200360100,2024,2,1,12,0,2,too late,200.0,2024,2,1,14,2,200.0,2,late,0.0,exact
6261873-8,8,52391922,23200350100,2024,2,1,12,0,0,on time,10.0,2024,2,1,12,0,10.0,0,on_time,0.0,exact
6261874-1,10,52391922,37300250000,2024,4,2,1,0,2,too late,400.0,2024,4,2,3,2,400.0,2,late,0.0,exact
6261874-2,10,52391922,27100512900,2024,4,2,5,4,3,too late,400.0,2024,4,2,8,0,400.0,3,late,0.0,exact
6261874-3,10,52391922,27100542900,2024,4,2,1,0,-4,too early,500.0,2024,3,1,28,3,500.0,-4,early,0.0,exact
6261874-4,10,52391922,27101072300,2024,4,2,1,0,-4,too early,500.0,2024,3,1,28,3,500.0,-4,early,0.0,exact
6261874-5,10,52391922,27100150000,2024,4,2,1,0,2,too late,100.0,2024,4,2,3,2,100.0,2,late,0.0,exact
6261874-6,10,52391922,27100400000,2024,4,2,1,0,-4,too early,500.0,2024,3,1,28,3,500.0,-4,early,0.0,exact
6261874-7,10,52391922,27300740000,2024,4,2,1,0,-4,too early,500.0,2024,3,1,28,3,500.0,-4,early,0.0,exact
6261874-8,10,52391922,27101010300,2024,4,2,1,0,-4,too early,50.0,2024,3,1,28,3,50.0,-4,early,0.0,exact
6261874-9,10,52391922,27100932600,2024,4,2,1,0,2,too late,100.0,2024,4,2,3,2,100.0,2,late,0.0,exact
6261874-10,10,52391922,27100742600,2024,4,2,1,0,-4,too early,200.0,2024,3,1,28,3,200.0,-4,early,0.0,exact
6261875-1,12,52391922,27100369200,2024,4,2,8,0,9,too late,1000.0,2024,4,2,17,2,1000.0,9,late,0.0,exact
6261875-2,12,52391922,27100712300,2024,4,2,8,0,0,on time,1000.0,2024,4,2,8,0,1000.0,0,on_time,0.0,exact
6261875-3,12,52391922,27101012900,2024,4,2,8,0,1,too late,1000.0,2024,4,2,9,1,1000.0,1,late,0.0,exact
6261875-4,12,52391922,27100552300,2024,4,2,8,0,0,on time,1000.0,2024,4,2,8,0,1000.0,0,on_time,0.0,exact
6261875-5,12,52391922,27100512400,2024,4,2,8,0,0,on time,500.0,2024,4,2,8,0,500.0,0,on_time,0.0,exact
6261875-6,12,52391922,27100370100,2024,4,2,11,3,5,too late,500.0,2024,4,2,16,1,500.0,5,late,0.0,exact
6261149-4,4,14929254,22903890108,2024,5,2,21,1,-18,too early,161.0,2024,5,2,3,4,161.0,-18,early,0.0,exact
6261150-1,3,14148833,TRAFO V3176,2024,2,1,14,2,6,too late,100.0,2024,2,1,20,1,100.0,6,late,0.0,exact
6261150-2,3,14148833,TRAFO BV30V9000,2024,2,1,14,2,-1,too early,100.0,2024,2,1,13,1,100.0,-1,early,0.0,exact
6261150-3,3,14148833,TRAFO 13235,2024,2,1,14,2,-1,too early,200.0,2024,2,1,13,1,200.0,-1,early,0.0,exact
6261151-1,2,93118673,23101130500,2023,4,2,3,0,22,too late,500.0,2023,4,2,25,1,500.0,22,late,0.0,exact
6261151-2,2,93118673,23101130400,2023,4,2,3,0,22,too late,500.0,2023,4,2,25,1,500.0,22,late,0.0,exact
6261152-1,6,95947983,25000190000,2023,8,3,14,0,-3,too early,3000.0,2023,8,3,11,4,3000.0,-3,early,0.0,exact
6261152-2,6,95947983,25000050000,2023,8,3,14,0,-3,too early,4000.0,2023,8,3,11,4,4000.0,-3,early,0.0,exact
6261152-3,6,95947983,85000100000,2023,8,3,14,0,-3,too early,8000.0,2023,8,3,11,4,8000.0,-3,early,0.0,exact
6261152-4,6,95947983,86000100300,2023,10,4,20,4,-37,too early,1000.0,2023,9,3,13,2,1000.0,-37,early,0.0,exact
6261152-5,6,95947983,26000980000,2023,8,3,14,0,-3,too early,1500.0,2023,8,3,11,4,1500.0,-3,early,0.0,exact
6261152-6,6,95947983,86000100300,2024,1,1,8,0,2,too late,1000.0,2024,1,1,10,2,1000.0,2,late,0.0,exact
6261153-1,1,37222009,28400550500,2023,7,3,26,2,-1,too early,1500.0,2023,7,3,25,1,1500.0,-1,early,0.0,exact
6261154-1,2,93118673,23101130500,2023,6,2,5,0,23,too late,2600.0,2023,6,2,28,2,2600.0,23,late,0.0,exact
6261154-2,2,93118673,23101130400,2023,6,2,5,0,23,too late,2600.0,2023,6,2,28,2,2600.0,23,late,0.0,exact
6261155-1,1,85168079,21000010100,2023,3,1,20,0,-4,too early,500.0,2023,3,1,16,3,500.0,-4,early,0.0,exact
6261156-1,2,94299111,99500000300,2023,5,2,15,0,11,too late,3000.0,2023,5,2,26,4,3000.0,11,late,0.0,exact
6261156-2,2,94299111,99500000300,2023,3,1,27,0,1,too late,1.0,2023,3,1,28,1,1.0,1,late,0.0,exact
6261157-1,3,41316462,124700000014700,2023,3,1,8,2,0,on time,100.0,2023,3,1,8,2,100.0,0,on_time,0.0,exact
6261157-2,3,41316462,124700000020000,2023,3,1,8,2,0,on time,100.0,2023,3,1,8,2,100.0,0,on_time,0.0,exact
6261157-3,3,41316462,27001010100,2023,3,1,8,2,0,on time,100.0,2023,3,1,8,2,100.0,0,on_time,0.0,exact
